census_tract,data_redacted,num_bll_5plus,num_screen,perc_5plus
42101026500,false,22,227,9.7
42101026600,false,10,264,3.8
42101026700,false,26,313,8.3
42101026800,false,16,221,7.2
42101026900,true,,69,
42101027000,true,,88,
42101027100,true,,97,
42101027200,false,8,197,4.1
42101027800,false,17,229,7.4
42101027901,false,18,222,8.1
42101027300,false,20,383,5.2
42101027401,false,11,187,5.9
42101027402,false,32,433,7.4
42101027500,false,23,257,8.9
42101027600,false,16,217,7.4
42101027700,false,22,265,8.3
42101028700,false,8,197,4.1
42101027902,true,,89,
42101028000,false,24,255,9.4
42101028100,false,24,235,10.2
42101028200,false,29,285,10.2
42101028300,false,81,486,16.7
42101028400,false,41,343,12
42101028500,false,12,166,7.2
42101028600,false,53,532,10
42101028901,false,11,315,3.5
42101028902,false,30,541,5.5
42101029900,false,22,382,5.8
42101029000,false,26,431,6
42101029300,false,20,237,8.4
42101029400,false,27,265,10.2
42101029100,false,13,309,4.2
42101029800,false,17,309,5.5
42101029200,false,19,260,7.3
42101030000,false,65,587,11.1
42101030100,false,29,381,7.6
42101030200,false,30,492,6.1
42101030501,false,7,330,2.1
42101030502,false,7,289,2.4
42101030600,false,10,308,3.2
42101030700,true,,148,
42101030800,false,9,190,4.7
42101030900,false,8,260,3.1
42101031000,true,,329,
42101031101,false,10,313,3.2
42101031102,false,9,267,3.4
42101031200,false,13,286,4.5
42101031300,false,16,493,3.2
42101035601,false,0,98,0
42101031401,false,18,453,4
42101031402,false,8,320,2.5
42101031501,false,6,268,2.2
42101031502,true,,178,
42101031600,false,6,260,2.3
42101031700,false,7,361,1.9
42101031800,false,6,225,2.7
42101031900,false,6,292,2.1
42101032000,false,7,342,2
42101032100,true,,207,
42101032300,false,8,227,3.5
42101032500,false,8,276,2.9
42101032600,false,9,321,2.8
42101032900,false,8,205,3.9
42101033000,false,9,413,2.2
42101033101,true,,179,
42101033102,true,,159,
42101033200,false,0,87,0
42101033300,true,,103,
42101033400,false,6,184,3.3
42101033500,true,,163,
42101033600,false,7,309,2.3
42101033701,true,,220,
42101033702,true,,185,
42101033800,true,,214,
42101033900,true,,101,
42101034000,true,,77,
42101034100,true,,146,
42101034200,false,0,71,0
42101034400,true,,159,
42101034501,true,,132,
42101034502,true,,258,
42101034600,false,0,88,0
42101034701,false,0,207,0
42101034702,true,,82,
42101034801,true,,108,
42101034802,true,,198,
42101034803,true,,146,
42101034900,true,,275,
42101035100,false,0,50,0
42101035602,false,0,79,0
42101035200,true,,88,
42101035701,true,,181,
42101035702,true,,155,
42101035800,false,0,122,0
42101035900,true,,121,
42101035301,false,0,97,0
42101035302,true,,113,
42101035500,true,,211,
42101036000,true,,66,
42101036100,true,,105,
42101036201,false,0,111,0
42101036202,true,,133,
42101036502,true,,81,
42101036203,true,,114,
42101036600,false,0,80,0
42101036700,true,,125,
42101036301,false,0,92,0
42101036302,true,,101,
42101037800,false,6,114,5.3
42101036303,false,0,115,0
42101037900,true,,244,
42101036400,false,0,6,0
42101036501,true,,120,
42101036900,false,0,33,0
42101037200,true,,174,
42101038000,false,11,112,9.8
42101037300,true,,143,
42101037500,false,9,98,9.2
42101037600,true,,153,
42101037700,false,13,249,5.2
42101038100,true,,57,
42101038400,true,,82,
42101038200,false,17,211,8.1
42101038300,false,15,262,5.7
42101038500,true,,42,
42101038600,true,,34,
42101038700,true,,81,
42101038800,false,11,214,5.1
42101038900,false,9,158,5.7
42101039000,false,26,537,4.8
42101980000,false,0,7,0
42101980100,true,,,
42101980200,true,,,
42101980700,true,,,
42101980800,true,,,
42101980900,true,,,
42101989100,true,,,
